EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,ID_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,PMem_Reino,RAJ2000_Reino,DEJ2000_Reino,GaiaDR1_Reino,dist_GaiaC_Reino,RAJ2000_GaiaC_Reino,DEJ2000_GaiaC_Reino,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Reino_Douglas,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,phot_g_mean_flux_Gaia,phot_g_mean_flux_error_Gaia,phot_g_mean_mag_Gaia,phot_bp_mean_flux_Gaia,phot_bp_mean_flux_error_Gaia,phot_bp_mean_mag_Gaia,phot_rp_mean_flux_Gaia,phot_rp_mean_flux_error_Gaia,phot_rp_mean_mag_Gaia,bp_rp_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,e_bp_min_rp_val_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,ra_epoch2000_Gaiaa,dec_epoch2000_Gaiaa,errHalfMaj_Gaiaa,errHalfMin_Gaiaa,errPosAng_Gaiaa,source_id_Gaiaa,ra_Gaiaa,ra_error_Gaiaa,dec_Gaiaa,dec_error_Gaiaa,parallax_Gaiaa,parallax_error_Gaiaa,pmra_Gaiaa,pmra_error_Gaiaa,pmdec_Gaiaa,pmdec_error_Gaiaa,duplicated_source_Gaiaa,phot_g_mean_flux_Gaiaa,phot_g_mean_flux_error_Gaiaa,phot_g_mean_mag_Gaiaa,phot_bp_mean_flux_Gaiaa,phot_bp_mean_flux_error_Gaiaa,phot_bp_mean_mag_Gaiaa,phot_rp_mean_flux_Gaiaa,phot_rp_mean_flux_error_Gaiaa,phot_rp_mean_mag_Gaiaa,bp_rp_Gaiaa,radial_velocity_Gaiaa,radial_velocity_error_Gaiaa,rv_nb_transits_Gaiaa,teff_val_Gaiaa,a_g_val_Gaiaa,e_bp_min_rp_val_Gaiaa,radius_val_Gaiaa,lum_val_Gaiaa,angDist_Gaiaa,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,e_Jmag_2MASS,e_Hmag_2MASS,e_Kmag_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,gmag_PS1,e_gmag_PS1,gKmag_PS1,e_gKmag_PS1,gFlags_PS1,rmag_PS1,e_rmag_PS1,rKmag_PS1,e_rKmag_PS1,rFlags_PS1,imag_PS1,e_imag_PS1,iKmag_PS1,e_iKmag_PS1,iFlags_PS1,zmag_PS1,e_zmag_PS1,zKmag_PS1,e_zKmag_PS1,zFlags_PS1,ymag_PS1,e_ymag_PS1,yKmag_PS1,e_yKmag_PS1,yFlags_PS1,angDist_PS1
2.10923016E8,KTWO210923016-C13,13.0,24.0,64.8741,21.753885,LC,108.0,4.1,-39.1,5.1,,,,,15.517000000000001,0.12,14.014000000000001,0.1,14.76,0.05,13.427,0.08,12.366,0.48,,,10.106,0.021,9.442,0.02,9.222000000000001,0.018000000000000002,13.084000000000001,gri,,,,559-009271,04192976+2145141,,1.0,0.0,0.858,,,,24.0,4.0,84.0,,,6.861E-4,64.8741,21.753885,4.9520255665123328E16,64.87410339674138,21.753883599402776,0.9,,,,,,64.87410339674138,21.753883599402776,64.874125,21.753883300000002,0.99,0.0,0.07224121457445756,0.9450000000000001,64.8741033967414,21.7538835994028,0.003,0.002,90.0,49520255665123328,64.87460904003,0.0726,21.75371632297,0.0318,20.9048,0.0727,109.076,0.172,-38.851,0.097,false,135153.0,164.382,12.861299,27492.0,172.529,14.253371,166747.0,397.317,11.706774,2.546598,,,0,3923.21,,,,,0.012426,64.8741033967414,21.7538835994028,0.003,0.002,90.0,49520255665123328,64.87460904003,0.0726,21.75371632297,0.0318,20.9048,0.0727,109.076,0.172,-38.851,0.097,false,135153.0,164.382,12.861299,27492.0,172.529,14.253371,166747.0,397.317,11.706774,2.546598,,,0,3923.21,,,,,0.0,04192976+2145141,64.874034,21.753925,0.08,0.06,90.0,10.106,9.442,9.222,0.021,0.02,0.018,AAA,222,0,2450752.8329,0.263506,134100648743015328,64.8744549,21.75378538,0.033,0.032,0.0,906289152,108,55469.4378125,0,22,14.567,0.0076,14.6089,0.0069,16696,12.746,,,,16420,12.079,,,,4,11.621,,,,4,11.411,,,,16420,1.239662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1383893515451392E16,59.80634314281168,20.428207412344648,0.9,,,,,,59.80634314281168,20.428207412344648,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8063431510625,20.428207410243,0.001,0.001,90.0,51383893515451392,59.80696458179,0.0389,20.42804912058,0.0212,22.7348,0.0418,135.255,0.094,-36.764,0.053,true,176687.0,76.6779,12.570355,40248.5,72.5811,13.839513,207750.0,232.597,11.468065,2.371448,36.84,0.85,13,4008.51,0.2917,0.1517,,,2.9E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45391484855481344E17,67.00326388687628,21.61990347695107,0.9,0.8156,67.0032638868763,21.6199034769511,20842.0,1.1507104423757561E-10,67.00326388687628,21.619903476951087,67.003,21.620005600000002,0.99,0.0,0.9566249578082756,0.9018666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0032638868763,21.6199034769511,0.004,0.002,90.0,145391484855481344,67.0037113468,0.0899,21.61972151814,0.0479,19.9767,0.1165,96.615,0.249,-42.262,0.145,false,1.04247E8,68634.2,5.643206,6.62396E7,60638.5,5.798594,5.40079E7,101958.0,5.430776,0.367818,,,0,7435.0,0.7593,0.3975,1.93,10.276,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45293181643038208E17,66.57994902995172,21.468922573241546,0.9,,,,,,66.57994902995172,21.468922573241546,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5799490299517,21.4689225732415,0.003,0.002,90.0,145293181643038208,66.58043838372,0.0749,21.46874914973,0.0461,20.9216,0.0736,105.77,0.174,-40.279,0.137,false,17395.4,19.7783,15.087281,2486.0,17.2029,16.862635,24497.3,44.3794,13.789124,3.073511,,,0,4344.07,0.308,0.183,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3137782075943956E18,66.81933122940974,17.241851312891928,0.9,,,,,,66.81933122940974,17.241851312891928,66.8193333,17.241852800000004,0.99,0.0,0.008907482503694096,0.9450000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8193312361648,17.2418513110052,0.001,0.001,90.0,3313778207594395392,66.81981669425,0.0425,17.24171572183,0.0209,21.7437,0.0463,107.685,0.083,-31.492,0.058,false,261703.0,99.9319,12.143844,66102.4,113.164,13.300845,294063.0,327.506,11.090819,2.210026,40.37,0.4,14,4046.59,0.352,0.191,,,2.4E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.313751441358252E18,66.57935908706207,17.050600365565842,0.9,,,,,,66.57935908706207,17.050600365565842,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5793590870621,17.0506003655658,0.004,0.002,90.0,3313751441358252160,66.57981519606,0.122,17.05047864838,0.0505,21.3785,0.1349,101.279,0.233,-28.27,0.154,false,5364.56,4.35485,16.36453,520.033,6.07289,18.561312,8210.15,18.4392,14.976042,3.58527,,,0,3444.75,0.143,0.097,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3138425290245458E18,65.85443320516596,16.777266364876553,0.9,0.9144,65.854433205166,16.7772663648766,20484.0,2.0386139815309896E-10,65.85443320516598,16.777266364876574,65.85416670000001,16.777327800000002,0.99,0.0,0.9448299820989206,0.9348000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.854433205166,16.7772663648766,0.003,0.002,90.0,3313842529024545664,65.85491461033,0.094,16.7771511076,0.0485,20.4341,0.1093,107.051,0.202,-26.77,0.152,false,1.12159E8,76427.1,5.563784,7.07932E7,62375.0,5.72641,5.86994E7,103281.0,5.340336,0.386074,,,0,7401.67,0.719,0.3633,1.98,10.552,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3139477041827625E18,66.09280567499178,17.07895547392605,0.9,0.9473,66.09279049600346,17.078958312378273,3.3139476998878321E18,0.053224702977814654,66.09279808549762,17.07895689315216,66.0925417,17.0790194,0.99,0.0,0.9105286806210421,0.9457666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0928056803697,17.0789554725408,0.003,0.001,90.0,3313947704182762240,66.0932549883,0.0664,17.07883973584,0.0289,19.5922,0.0707,99.753,0.167,-26.881,0.093,true,3.46451E7,6627.68,6.839261,2.0203E7,8412.83,7.087849,2.03954E7,16750.5,6.488092,0.599757,38.54,0.34,20,6466.95,0.2653,0.149,1.49,3.492,1.9E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3137590005006049E18,66.25102963001221,16.984897565115606,0.9,,,,,,66.25102963001221,16.984897565115606,66.25075,16.9849389,0.99,0.0,0.974190822551672,0.9450000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2510296346715,16.984897563906,0.002,0.001,90.0,3313759000500605056,66.25143984368,0.0596,16.98479106816,0.0272,18.2821,0.0622,91.119,0.155,-24.735,0.086,false,1941900.0,817.019,9.967796,850485.0,781.54,10.527222,1542820.0,1004.89,9.291132,1.23609,39.19,0.88,5,4798.22,0.2098,0.107,0.75,0.266,1.7E-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47118233505518976E17,72.97230328519609,24.610122527141925,0.9,,,,,,72.97230328519609,24.610122527141925,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9723032851961,24.6101225271419,0.002,0.001,90.0,147118233505518976,72.97271266712,0.0806,24.60988527928,0.048,20.9161,0.0933,86.445,0.153,-55.103,0.084,false,8653.35,5.78353,15.845406,994.05,10.0811,17.857868,12780.3,46.013,14.495566,3.362302,,,0,4083.52,0.314,0.196,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
